TransactionID,UserID,ProductID,Timestamp,Amount
0,485,188,2024-06-20 09:41:11,207.71
1,247,171,2024-08-29 14:16:09,423.2
2,864,4,2025-02-09 05:45:45,60.56
3,160,436,2025-01-08 23:53:21,184.91
4,310,439,2025-03-10 18:44:12,492.07
5,886,207,2024-12-18 00:15:44,277.34
6,873,64,2025-01-17 03:31:13,94.02
7,735,433,2024-10-06 14:54:36,222.72
8,289,315,2024-09-15 01:49:44,183.06
9,795,293,2024-10-05 18:24:30,191.52
10,452,226,2024-12-08 23:23:56,148.32
11,276,299,2024-09-22 15:10:33,382.93
12,522,253,2024-09-18 19:52:50,407.85
13,693,273,2024-06-02 19:38:30,330.88
14,530,38,2024-07-29 18:22:01,422.43
15,648,284,2024-08-20 06:09:22,396.34
16,979,147,2025-03-03 18:07:39,182.56
17,495,46,2025-03-16 21:38:17,184.2
18,62,137,2025-02-28 14:34:11,95.95
19,473,53,2024-09-25 22:09:34,394.07
20,807,379,2024-12-13 09:25:43,490.0
21,818,125,2024-07-06 15:46:20,464.65
22,433,149,2024-10-13 21:08:28,202.39
23,268,183,2025-01-31 01:22:16,24.11
24,319,2,2024-11-30 03:11:29,475.61
25,518,443,2024-07-16 10:09:37,338.13
26,45,22,2024-12-07 07:43:03,329.1
27,340,82,2024-09-22 22:56:29,466.0
28,932,283,2024-12-31 06:37:26,315.94
29,302,56,2024-03-24 19:11:11,155.19
30,397,382,2025-02-23 00:10:20,80.49
31,995,430,2025-01-22 23:24:48,400.24
32,833,269,2025-01-23 23:30:05,247.19
33,783,471,2024-04-27 11:04:31,100.04
34,398,47,2025-02-07 08:17:59,17.39
35,939,492,2024-04-19 11:43:44,469.45
36,981,105,2024-09-10 14:48:44,252.89
37,597,183,2024-05-16 17:18:46,74.63
38,850,52,2024-11-27 22:38:24,479.27
39,511,282,2025-03-19 19:09:42,215.03
40,995,302,2024-10-18 11:25:11,234.61
41,482,412,2025-03-01 21:00:41,424.39
42,483,169,2024-10-16 17:48:56,314.11
43,499,208,2025-01-26 10:00:36,284.85
44,260,57,2024-12-28 17:05:36,133.63
45,892,357,2024-08-07 17:54:36,76.28
46,649,140,2024-12-02 03:36:05,41.0
47,724,287,2024-10-25 16:32:42,472.04
48,79,288,2024-09-18 19:05:27,440.2
